"Statistic","CensusYear","Alphabetical List of Towns","UNIT","VALUE"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tubbercurry, Sligo","%","72.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tulla, Clare","%","78.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tullaghan, Leitrim","%","68.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tullamore, Offaly","%","73.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tullow, Carlow","%","62.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tullyallen, Louth","%","72.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tulsk, Roscommon","%","74.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Turlough, Mayo","%","87"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Turloughmore, Galway","%","83.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Twomileborris, North Tipperary","%","86.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tyrrellspass, Westmeath","%","81"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Unionhall, Cork","%","74.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Urlingford, Kilkenny","%","78.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Villierstown, Waterford","%","80.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Virginia, Cavan","%","54.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Walsh Island (Coolagary), Offaly","%","73.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Waterford city and suburbs, Waterford","%","77.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Watergrasshill, Cork","%","89.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Waterville-Spunkane, Kerry","%","78.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Westport, Mayo","%","66"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Wexford, Wexford","%","76.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Whitechurch, Cork","%","93.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Whitegate, Cork","%","82.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Whitegate, Clare","%","83.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Wicklow, Wicklow","%","50.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Williamstown, Galway","%","76.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Woodford, Galway","%","84.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Youghal, Cork","%","80.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Towns of all sizes","%","46.4"
"Birthplace - Outside Ireland (%)","2016","Abbeydorney, Kerry","%","13.2"
"Birthplace - Outside Ireland (%)","2016","Abbeyfeale, Limerick","%","14.1"
"Birthplace - Outside Ireland (%)","2016","Abbeyknockmoy, Galway","%","13"
"Birthplace - Outside Ireland (%)","2016","Abbeyleix, Laois","%","14.1"
"Birthplace - Outside Ireland (%)","2016","Adamstown, Wexford","%","12.3"
"Birthplace - Outside Ireland (%)","2016","Adare, Limerick","%","20.5"
"Birthplace - Outside Ireland (%)","2016","Aghada-Farsid-Rostellan, Cork","%","12.4"
"Birthplace - Outside Ireland (%)","2016","Aglish, Waterford","%","14.1"
"Birthplace - Outside Ireland (%)","2016","Ahascragh, Galway","%","15.4"
"Birthplace - Outside Ireland (%)","2016","Ailt an Chorráin, Donegal","%","21.4"
"Birthplace - Outside Ireland (%)","2016","Allenwood, Kildare","%","12.6"
"Birthplace - Outside Ireland (%)","2016","Anagaire, Donegal","%","18.6"
"Birthplace - Outside Ireland (%)","2016","An Bun Beag-Doirí Beaga, Donegal","%","26.4"
"Birthplace - Outside Ireland (%)","2016","An Charraig, Donegal","%","14.3"
"Birthplace - Outside Ireland (%)","2016","An Cheathrú Rua, Galway","%","14.5"
"Birthplace - Outside Ireland (%)","2016","An Clochán Liath, Donegal","%","22.4"
"Birthplace - Outside Ireland (%)","2016","An Daingean, Kerry","%","33.5"
"Birthplace - Outside Ireland (%)","2016","An Fál Carrach, Donegal","%","20.7"
"Birthplace - Outside Ireland (%)","2016","Annacotty, Limerick","%","18.9"
"Birthplace - Outside Ireland (%)","2016","Annagassan, Louth","%","19.4"
"Birthplace - Outside Ireland (%)","2016","Annaghdown, Galway","%","9.6"
"Birthplace - Outside Ireland (%)","2016","Annascaul, Kerry","%","22.6"
"Birthplace - Outside Ireland (%)","2016","Annayalla, Monaghan","%","30.3"
"Birthplace - Outside Ireland (%)","2016","An Rinn, Waterford","%","12"
"Birthplace - Outside Ireland (%)","2016","An Spidéal, Galway","%","18.1"
"Birthplace - Outside Ireland (%)","2016","Ardagh, Limerick","%","8.3"
"Birthplace - Outside Ireland (%)","2016","Ardara, Donegal","%","20.9"
"Birthplace - Outside Ireland (%)","2016","Ardee, Louth","%","15.3"
"Birthplace - Outside Ireland (%)","2016","Ardfert, Kerry","%","11.9"
"Birthplace - Outside Ireland (%)","2016","Ardfinnan, South Tipperary","%","7.5"
"Birthplace - Outside Ireland (%)","2016","Ardmore, Waterford","%","11.8"
"Birthplace - Outside Ireland (%)","2016","Ardnacrusha (Castlebank), Clare","%","6.8"
"Birthplace - Outside Ireland (%)","2016","Ardskeagh, Clare","%","4.8"
"Birthplace - Outside Ireland (%)","2016","Arklow, Wicklow","%","17.1"
"Birthplace - Outside Ireland (%)","2016","Arthurstown, Wexford","%","16.5"
"Birthplace - Outside Ireland (%)","2016","Arva, Cavan","%","23.4"
"Birthplace - Outside Ireland (%)","2016","Ashbourne, Meath","%","23.9"
"Birthplace - Outside Ireland (%)","2016","Ashford, Wicklow","%","11.8"
"Birthplace - Outside Ireland (%)","2016","Askeaton, Limerick","%","10.1"
"Birthplace - Outside Ireland (%)","2016","Athboy, Meath","%","20.9"
"Birthplace - Outside Ireland (%)","2016","Athea, Limerick","%","9.8"
"Birthplace - Outside Ireland (%)","2016","Athenry, Galway","%","24.9"
"Birthplace - Outside Ireland (%)","2016","Athgarvan, Kildare","%","11.9"
"Birthplace - Outside Ireland (%)","2016","Athleague, Roscommon","%","25"
"Birthplace - Outside Ireland (%)","2016","Athlone, Westmeath","%","26.9"
"Birthplace - Outside Ireland (%)","2016","Athy, Kildare","%","18.7"
"Birthplace - Outside Ireland (%)","2016","Aughnacliffe, Longford","%","20.9"
"Birthplace - Outside Ireland (%)","2016","Aughrim, Wicklow","%","15"
"Birthplace - Outside Ireland (%)","2016","Avoca, Wicklow","%","10.8"
"Birthplace - Outside Ireland (%)","2016","Baile an Droichid, Donegal","%","21.2"
"Birthplace - Outside Ireland (%)","2016","Bailieborough, Cavan","%","13"
"Birthplace - Outside Ireland (%)","2016","Baile Chláir, Galway","%","27.6"
"Birthplace - Outside Ireland (%)","2016","Baile Mhic Íre, Cork","%","16.9"
"Birthplace - Outside Ireland (%)","2016","Balbradagh, Meath","%","10.7"
"Birthplace - Outside Ireland (%)","2016","Balbriggan, Fingal","%","27.3"
"Birthplace - Outside Ireland (%)","2016","Balla, Mayo","%","16.9"
"Birthplace - Outside Ireland (%)","2016","Ballaghaderreen, Roscommon","%","31.8"
"Birthplace - Outside Ireland (%)","2016","Ballina, Mayo","%","18.2"
"Birthplace - Outside Ireland (%)","2016","Ballina, North Tipperary","%","20.6"
"Birthplace - Outside Ireland (%)","2016","Ballinabrannagh, Carlow","%","8.6"
"Birthplace - Outside Ireland (%)","2016","Ballinacarrow, Sligo","%","9.9"
"Birthplace - Outside Ireland (%)","2016","Ballinaclash, Wicklow","%","14.1"
"Birthplace - Outside Ireland (%)","2016","Ballinagar, Offaly","%","6.2"
"Birthplace - Outside Ireland (%)","2016","Ballinagh, Cavan","%","22.6"
"Birthplace - Outside Ireland (%)","2016","Ballinakill, Laois","%","9.7"
"Birthplace - Outside Ireland (%)","2016","Ballinalack, Westmeath","%","13.1"
"Birthplace - Outside Ireland (%)","2016","Ballinalee, Longford","%","9.5"
"Birthplace - Outside Ireland (%)","2016","Ballinameen, Roscommon","%","18.8"
"Birthplace - Outside Ireland (%)","2016","Ballinamore, Leitrim","%","21.9"
"Birthplace - Outside Ireland (%)","2016","Ballinasloe, Galway","%","20.2"
"Birthplace - Outside Ireland (%)","2016","Ballincar, Sligo","%","15.1"
"Birthplace - Outside Ireland (%)","2016","Ballinderreen, Galway","%","19.9"
"Birthplace - Outside Ireland (%)","2016","Ballindine, Mayo","%","13.5"
"Birthplace - Outside Ireland (%)","2016","Ballineen/Enniskean, Cork","%","15.2"
"Birthplace - Outside Ireland (%)","2016","Ballingarry, Limerick","%","9.6"
"Birthplace - Outside Ireland (%)","2016","Ballingarry, South Tipperary","%","7.1"
"Birthplace - Outside Ireland (%)","2016","Ballinlough, Roscommon","%","21.7"
"Birthplace - Outside Ireland (%)","2016","Ballinroad, Waterford","%","12.9"
"Birthplace - Outside Ireland (%)","2016","Ballinrobe, Mayo","%","29.2"
"Birthplace - Outside Ireland (%)","2016","Ballinspittle, Cork","%","17.4"
"Birthplace - Outside Ireland (%)","2016","Ballintober, Roscommon","%","21.1"
"Birthplace - Outside Ireland (%)","2016","Ballintogher, Sligo","%","15.1"
"Birthplace - Outside Ireland (%)","2016","Ballintra, Donegal","%","14.1"
"Birthplace - Outside Ireland (%)","2016","Ballisodare, Sligo","%","18.4"
"Birthplace - Outside Ireland (%)","2016","Ballivor, Meath","%","11.7"
"Birthplace - Outside Ireland (%)","2016","Ballon, Carlow","%","11.2"
"Birthplace - Outside Ireland (%)","2016","Ballyagran, Limerick","%","5"
"Birthplace - Outside Ireland (%)","2016","Ballybay, Monaghan","%","26.8"
"Birthplace - Outside Ireland (%)","2016","Ballybofey-Stranorlar, Donegal","%","23.4"
"Birthplace - Outside Ireland (%)","2016","Ballyboghil, Fingal","%","11.9"
"Birthplace - Outside Ireland (%)","2016","Ballybrittas, Laois","%","7.7"
"Birthplace - Outside Ireland (%)","2016","Ballybunion, Kerry","%","15.9"
"Birthplace - Outside Ireland (%)","2016","Ballycanew, Wexford","%","9.1"
"Birthplace - Outside Ireland (%)","2016","Ballycannan, Clare","%","7.5"
"Birthplace - Outside Ireland (%)","2016","Ballycastle, Mayo","%","12.3"
"Birthplace - Outside Ireland (%)","2016","Ballyclerahan, South Tipperary","%","11.6"
"Birthplace - Outside Ireland (%)","2016","Ballyclogh, Cork","%","11.2"
"Birthplace - Outside Ireland (%)","2016","Ballycolla, Laois","%","11"
"Birthplace - Outside Ireland (%)","2016","Ballyconnell, Cavan","%","44"
"Birthplace - Outside Ireland (%)","2016","Ballycotton, Cork","%","16.3"
"Birthplace - Outside Ireland (%)","2016","Ballycullane, Wexford","%","19.8"
"Birthplace - Outside Ireland (%)","2016","Ballycumber, Offaly","%","6.3"
"Birthplace - Outside Ireland (%)","2016","Ballydehob, Cork","%","24.5"
"Birthplace - Outside Ireland (%)","2016","Ballydesmond, Cork","%","11.9"
"Birthplace - Outside Ireland (%)","2016","Ballyduff, Kerry","%","7.7"
"Birthplace - Outside Ireland (%)","2016","Ballyedmond, Wexford","%","4.1"
"Birthplace - Outside Ireland (%)","2016","Ballyfarnan, Roscommon","%","11.8"
"Birthplace - Outside Ireland (%)","2016","Ballyforan, Roscommon","%","16.5"
"Birthplace - Outside Ireland (%)","2016","Ballygar, Galway","%","23.6"
"Birthplace - Outside Ireland (%)","2016","Ballygarvan, Cork","%","7.4"
"Birthplace - Outside Ireland (%)","2016","Ballygawley, Sligo","%","10.6"
"Birthplace - Outside Ireland (%)","2016","Ballygeary (Rosslare Harbour), Wexford","%","17.8"
"Birthplace - Outside Ireland (%)","2016","Ballyhack, Wexford","%","8.7"
"Birthplace - Outside Ireland (%)","2016","Ballyhahill, Limerick","%","9.6"
"Birthplace - Outside Ireland (%)","2016","Ballyhaise, Cavan","%","14.1"
"Birthplace - Outside Ireland (%)","2016","Ballyhale, Kilkenny","%","15.5"
"Birthplace - Outside Ireland (%)","2016","Ballyhaunis, Mayo","%","49"
"Birthplace - Outside Ireland (%)","2016","Ballyheigue, Kerry","%","19.8"
"Birthplace - Outside Ireland (%)","2016","Ballyhogue, Wexford","%","11.5"
"Birthplace - Outside Ireland (%)","2016","Ballyhooly, Cork","%","14.5"
"Birthplace - Outside Ireland (%)","2016","Ballyjamesduff, Cavan","%","35.3"
"Birthplace - Outside Ireland (%)","2016","Ballyknockan, Wicklow","%","21.1"
"Birthplace - Outside Ireland (%)","2016","Ballylanders, Limerick","%","10.7"
"Birthplace - Outside Ireland (%)","2016","Ballyliffin, Donegal","%","28.6"
"Birthplace - Outside Ireland (%)","2016","Ballylinan, Laois","%","10"
"Birthplace - Outside Ireland (%)","2016","Ballylongford, Kerry","%","16.1"
"Birthplace - Outside Ireland (%)","2016","Ballymacarbry, Waterford","%","9.4"
"Birthplace - Outside Ireland (%)","2016","Ballymacoda, Cork","%","12.4"
"Birthplace - Outside Ireland (%)","2016","Ballymahon, Longford","%","35"
"Birthplace - Outside Ireland (%)","2016","Ballymore, Westmeath","%","14.7"
"Birthplace - Outside Ireland (%)","2016","Ballymore Eustace, Kildare","%","10.7"
"Birthplace - Outside Ireland (%)","2016","Ballymote, Sligo","%","18.7"
"Birthplace - Outside Ireland (%)","2016","Ballymurn, Wexford","%","6.5"
"Birthplace - Outside Ireland (%)","2016","Ballynacargy, Westmeath","%","6.9"
"Birthplace - Outside Ireland (%)","2016","Ballynoe, Cork","%","14.2"
"Birthplace - Outside Ireland (%)","2016","Ballynonty, South Tipperary","%","5.3"
"Birthplace - Outside Ireland (%)","2016","Ballyoulster, Kildare","%","11.5"
"Birthplace - Outside Ireland (%)","2016","Ballyporeen, South Tipperary","%","17.9"
"Birthplace - Outside Ireland (%)","2016","Ballyragget, Kilkenny","%","10.5"
"Birthplace - Outside Ireland (%)","2016","Ballyroan, Laois","%","8"
"Birthplace - Outside Ireland (%)","2016","Ballyroe, Kildare","%","6.6"
"Birthplace - Outside Ireland (%)","2016","Ballysax, Kildare","%","6.7"
"Birthplace - Outside Ireland (%)","2016","Ballyshannon, Donegal","%","16.8"
"Birthplace - Outside Ireland (%)","2016","Ballysimon, Wexford","%","6"
"Birthplace - Outside Ireland (%)","2016","Ballytore, Kildare","%","10.7"
"Birthplace - Outside Ireland (%)","2016","Ballyvaughan, Clare","%","19.4"
"Birthplace - Outside Ireland (%)","2016","Balrothery, Fingal","%","16.8"
"Birthplace - Outside Ireland (%)","2016","Baltimore, Cork","%","32.2"
"Birthplace - Outside Ireland (%)","2016","Baltinglass, Wicklow","%","16.3"
"Birthplace - Outside Ireland (%)","2016","Baltray, Louth","%","10.6"
"Birthplace - Outside Ireland (%)","2016","Banagher, Offaly","%","17.7"
"Birthplace - Outside Ireland (%)","2016","Bandon, Cork","%","25.9"
"Birthplace - Outside Ireland (%)","2016","Bangor Erris, Mayo","%","12.7"
"Birthplace - Outside Ireland (%)","2016","Bansha, South Tipperary","%","12.6"
"Birthplace - Outside Ireland (%)","2016","Banteer, Cork","%","8.7"
"Birthplace - Outside Ireland (%)","2016","Bantry, Cork","%","23.7"
"Birthplace - Outside Ireland (%)","2016","Barndarrig, Wicklow","%","11.9"
"Birthplace - Outside Ireland (%)","2016","Barntown, Wexford","%","12"
"Birthplace - Outside Ireland (%)","2016","Baylin, Westmeath","%","7.9"
"Birthplace - Outside Ireland (%)","2016","Béal an Mhuirthead, Mayo","%","22.4"
"Birthplace - Outside Ireland (%)","2016","Béal Átha an Ghaorthaidh, Cork","%","4.7"
"Birthplace - Outside Ireland (%)","2016","Bearna, Galway","%","19.6"
"Birthplace - Outside Ireland (%)","2016","Beaufort, Kerry","%","18.3"
"Birthplace - Outside Ireland (%)","2016","Beaulieu, Louth","%","9.1"
"Birthplace - Outside Ireland (%)","2016","Belcarra, Mayo","%","18"
"Birthplace - Outside Ireland (%)","2016","Belgooly, Cork","%","16.6"
"Birthplace - Outside Ireland (%)","2016","Bellanode, Monaghan","%","22.8"
"Birthplace - Outside Ireland (%)","2016","Bellanagare, Roscommon","%","19"
"Birthplace - Outside Ireland (%)","2016","Bellavary, Mayo","%","10.1"
"Birthplace - Outside Ireland (%)","2016","Belmont, Offaly","%","8"
"Birthplace - Outside Ireland (%)","2016","Belturbet, Cavan","%","27.6"
"Birthplace - Outside Ireland (%)","2016","Bennettsbridge, Kilkenny","%","9.5"
"Birthplace - Outside Ireland (%)","2016","Birr, Offaly","%","18.3"
"Birthplace - Outside Ireland (%)","2016","Blacklion, Cavan","%","33"
"Birthplace - Outside Ireland (%)","2016","Blarney, Cork","%","14.4"
"Birthplace - Outside Ireland (%)","2016","Blessington, Kildare and Wicklow","%","18.4"
"Birthplace - Outside Ireland (%)","2016","Boherbue, Cork","%","11.7"
